Round,ALB,ALO,ANT,BEA,BOR,COL,DOO,GAS,HAD,HAM,HUL,LAW,LEC,NOR,OCO,PIA,RUS,SAI,STR,TSU,VER
1,10.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,4.0,25.0,0.0,2.0,15.0,0.0,8.0,0.0,18.0
2,16.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,4.0,43.0,10.0,27.0,30.0,1.0,10.0,0.0,30.0
3,18.0,0.0,28.0,5.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,0.0,16.0,61.0,10.0,42.0,40.0,1.0,10.0,0.0,55.0
4,18.0,0.0,28.0,6.0,0.0,0.0,0.0,6.0,4.0,17.0,6.0,0.0,28.0,76.0,14.0,67.0,58.0,1.0,10.0,2.0,63.0
5,20.0,0.0,36.0,6.0,0.0,0.0,0.0,6.0,5.0,23.0,6.0,0.0,43.0,88.0,14.0,92.0,68.0,5.0,10.0,2.0,81.0
6,30.0,0.0,44.0,6.0,0.0,0.0,0.0,6.0,5.0,27.0,6.0,0.0,49.0,106.0,14.0,117.0,83.0,7.0,10.0,3.0,93.0
7,40.0,0.0,44.0,6.0,0.0,0.0,0.0,6.0,7.0,39.0,6.0,0.0,57.0,124.0,14.0,132.0,89.0,11.0,10.0,4.0,118.0
8,42.0,0.0,44.0,6.0,0.0,0.0,0.0,6.0,15.0,49.0,6.0,4.0,75.0,149.0,20.0,147.0,89.0,12.0,10.0,4.0,130.0
9,42.0,2.0,44.0,6.0,0.0,0.0,0.0,10.0,21.0,57.0,16.0,4.0,90.0,167.0,20.0,172.0,101.0,12.0,10.0,4.0,131.0
10,42.0,8.0,59.0,6.0,0.0,0.0,0.0,10.0,21.0,65.0,20.0,4.0,100.0,167.0,22.0,184.0,126.0,13.0,10.0,4.0,149.0
11,42.0,14.0,59.0,6.0,4.0,0.0,0.0,10.0,21.0,77.0,22.0,12.0,115.0,192.0,23.0,202.0,136.0,13.0,10.0,4.0,149.0
12,46.0,16.0,59.0,6.0,4.0,0.0,0.0,18.0,21.0,89.0,37.0,12.0,115.0,217.0,23.0,220.0,137.0,13.0,16.0,4.0,159.0
13,54.0,16.0,59.0,6.0,6.0,0.0,0.0,19.0,21.0,95.0,37.0,16.0,130.0,235.0,23.0,245.0,147.0,13.0,16.0,4.0,171.0
14,54.0,26.0,60.0,6.0,14.0,0.0,0.0,19.0,21.0,95.0,37.0,20.0,142.0,260.0,23.0,263.0,162.0,13.0,22.0,4.0,173.0
15,64.0,30.0,60.0,14.0,14.0,0.0,0.0,19.0,36.0,95.0,37.0,20.0,142.0,260.0,24.0,288.0,174.0,13.0,28.0,6.0,191.0
16,70.0,30.0,62.0,14.0,18.0,0.0,0.0,19.0,37.0,103.0,37.0,20.0,154.0,278.0,24.0,303.0,184.0,13.0,28.0,6.0,216.0
17,70.0,30.0,74.0,14.0,18.0,0.0,0.0,19.0,38.0,107.0,37.0,30.0,156.0,284.0,24.0,303.0,202.0,28.0,28.0,14.0,241.0
18,70.0,36.0,84.0,16.0,18.0,0.0,0.0,19.0,38.0,111.0,37.0,30.0,164.0,299.0,24.0,315.0,227.0,29.0,28.0,14.0,259.0
19,70.0,37.0,84.0,18.0,18.0,0.0,0.0,19.0,38.0,123.0,41.0,30.0,179.0,317.0,24.0,325.0,235.0,29.0,28.0,20.0,284.0
20,70.0,37.0,92.0,30.0,19.0,0.0,0.0,19.0,38.0,127.0,41.0,30.0,197.0,342.0,26.0,335.0,241.0,29.0,28.0,20.0,299.0
21,70.0,37.0,110.0,38.0,19.0,0.0,0.0,20.0,42.0,127.0,43.0,36.0,197.0,367.0,26.0,345.0,253.0,29.0,28.0,20.0,314.0
22,70.0,37.0,125.0,39.0,19.0,0.0,0.0,20.0,50.0,131.0,49.0,36.0,209.0,367.0,28.0,345.0,271.0,39.0,28.0,20.0,339.0
23,70.0,43.0,135.0,39.0,19.0,0.0,0.0,20.0,50.0,131.0,49.0,38.0,213.0,379.0,28.0,363.0,279.0,54.0,28.0,21.0,364.0
