Abbreviation,DriverId,TeamName,Points,Round,Session
NOR,norris,McLaren,25.0,1,Race
VER,max_verstappen,Red Bull Racing,18.0,1,Race
RUS,russell,Mercedes,15.0,1,Race
ANT,antonelli,Mercedes,12.0,1,Race
ALB,albon,Williams,10.0,1,Race
STR,stroll,Aston Martin,8.0,1,Race
HUL,hulkenberg,Kick Sauber,6.0,1,Race
LEC,leclerc,Ferrari,4.0,1,Race
PIA,piastri,McLaren,2.0,1,Race
HAM,hamilton,Ferrari,1.0,1,Race
GAS,gasly,Alpine,0.0,1,Race
TSU,tsunoda,Racing Bulls,0.0,1,Race
OCO,ocon,Haas F1 Team,0.0,1,Race
BEA,bearman,Haas F1 Team,0.0,1,Race
LAW,lawson,Red Bull Racing,0.0,1,Race
BOR,bortoleto,Kick Sauber,0.0,1,Race
ALO,alonso,Aston Martin,0.0,1,Race
SAI,sainz,Williams,0.0,1,Race
DOO,doohan,Alpine,0.0,1,Race
HAD,hadjar,Racing Bulls,0.0,1,Race
PIA,piastri,McLaren,25.0,2,Race
NOR,norris,McLaren,18.0,2,Race
RUS,russell,Mercedes,15.0,2,Race
VER,max_verstappen,Red Bull Racing,12.0,2,Race
OCO,ocon,Haas F1 Team,10.0,2,Race
ANT,antonelli,Mercedes,8.0,2,Race
ALB,albon,Williams,6.0,2,Race
BEA,bearman,Haas F1 Team,4.0,2,Race
STR,stroll,Aston Martin,2.0,2,Race
SAI,sainz,Williams,1.0,2,Race
HAD,hadjar,Racing Bulls,0.0,2,Race
LAW,lawson,Red Bull Racing,0.0,2,Race
DOO,doohan,Alpine,0.0,2,Race
BOR,bortoleto,Kick Sauber,0.0,2,Race
HUL,hulkenberg,Kick Sauber,0.0,2,Race
TSU,tsunoda,Racing Bulls,0.0,2,Race
ALO,alonso,Aston Martin,0.0,2,Race
LEC,leclerc,Ferrari,0.0,2,Race
HAM,hamilton,Ferrari,0.0,2,Race
GAS,gasly,Alpine,0.0,2,Race
VER,max_verstappen,Red Bull Racing,25.0,3,Race
NOR,norris,McLaren,18.0,3,Race
PIA,piastri,McLaren,15.0,3,Race
LEC,leclerc,Ferrari,12.0,3,Race
RUS,russell,Mercedes,10.0,3,Race
ANT,antonelli,Mercedes,8.0,3,Race
HAM,hamilton,Ferrari,6.0,3,Race
HAD,hadjar,Racing Bulls,4.0,3,Race
ALB,albon,Williams,2.0,3,Race
BEA,bearman,Haas F1 Team,1.0,3,Race
ALO,alonso,Aston Martin,0.0,3,Race
TSU,tsunoda,Red Bull Racing,0.0,3,Race
GAS,gasly,Alpine,0.0,3,Race
SAI,sainz,Williams,0.0,3,Race
DOO,doohan,Alpine,0.0,3,Race
HUL,hulkenberg,Kick Sauber,0.0,3,Race
LAW,lawson,Racing Bulls,0.0,3,Race
OCO,ocon,Haas F1 Team,0.0,3,Race
BOR,bortoleto,Kick Sauber,0.0,3,Race
STR,stroll,Aston Martin,0.0,3,Race
PIA,piastri,McLaren,25.0,4,Race
RUS,russell,Mercedes,18.0,4,Race
NOR,norris,McLaren,15.0,4,Race
LEC,leclerc,Ferrari,12.0,4,Race
HAM,hamilton,Ferrari,10.0,4,Race
VER,max_verstappen,Red Bull Racing,8.0,4,Race
GAS,gasly,Alpine,6.0,4,Race
OCO,ocon,Haas F1 Team,4.0,4,Race
TSU,tsunoda,Red Bull Racing,2.0,4,Race
BEA,bearman,Haas F1 Team,1.0,4,Race
ANT,antonelli,Mercedes,0.0,4,Race
ALB,albon,Williams,0.0,4,Race
HAD,hadjar,Racing Bulls,0.0,4,Race
DOO,doohan,Alpine,0.0,4,Race
ALO,alonso,Aston Martin,0.0,4,Race
LAW,lawson,Racing Bulls,0.0,4,Race
STR,stroll,Aston Martin,0.0,4,Race
BOR,bortoleto,Kick Sauber,0.0,4,Race
SAI,sainz,Williams,0.0,4,Race
HUL,hulkenberg,Kick Sauber,0.0,4,Race
PIA,piastri,McLaren,25.0,5,Race
VER,max_verstappen,Red Bull Racing,18.0,5,Race
LEC,leclerc,Ferrari,15.0,5,Race
NOR,norris,McLaren,12.0,5,Race
RUS,russell,Mercedes,10.0,5,Race
ANT,antonelli,Mercedes,8.0,5,Race
HAM,hamilton,Ferrari,6.0,5,Race
SAI,sainz,Williams,4.0,5,Race
ALB,albon,Williams,2.0,5,Race
HAD,hadjar,Racing Bulls,1.0,5,Race
ALO,alonso,Aston Martin,0.0,5,Race
LAW,lawson,Racing Bulls,0.0,5,Race
BEA,bearman,Haas F1 Team,0.0,5,Race
OCO,ocon,Haas F1 Team,0.0,5,Race
HUL,hulkenberg,Kick Sauber,0.0,5,Race
STR,stroll,Aston Martin,0.0,5,Race
DOO,doohan,Alpine,0.0,5,Race
BOR,bortoleto,Kick Sauber,0.0,5,Race
TSU,tsunoda,Red Bull Racing,0.0,5,Race
GAS,gasly,Alpine,0.0,5,Race
PIA,piastri,McLaren,25.0,6,Race
NOR,norris,McLaren,18.0,6,Race
RUS,russell,Mercedes,15.0,6,Race
VER,max_verstappen,Red Bull Racing,12.0,6,Race
ALB,albon,Williams,10.0,6,Race
ANT,antonelli,Mercedes,8.0,6,Race
LEC,leclerc,Ferrari,6.0,6,Race
HAM,hamilton,Ferrari,4.0,6,Race
SAI,sainz,Williams,2.0,6,Race
TSU,tsunoda,Red Bull Racing,1.0,6,Race
HAD,hadjar,Racing Bulls,0.0,6,Race
OCO,ocon,Haas F1 Team,0.0,6,Race
GAS,gasly,Alpine,0.0,6,Race
HUL,hulkenberg,Kick Sauber,0.0,6,Race
ALO,alonso,Aston Martin,0.0,6,Race
STR,stroll,Aston Martin,0.0,6,Race
LAW,lawson,Racing Bulls,0.0,6,Race
BOR,bortoleto,Kick Sauber,0.0,6,Race
BEA,bearman,Haas F1 Team,0.0,6,Race
DOO,doohan,Alpine,0.0,6,Race
VER,max_verstappen,Red Bull Racing,25.0,7,Race
NOR,norris,McLaren,18.0,7,Race
PIA,piastri,McLaren,15.0,7,Race
HAM,hamilton,Ferrari,12.0,7,Race
ALB,albon,Williams,10.0,7,Race
LEC,leclerc,Ferrari,8.0,7,Race
RUS,russell,Mercedes,6.0,7,Race
SAI,sainz,Williams,4.0,7,Race
HAD,hadjar,Racing Bulls,2.0,7,Race
TSU,tsunoda,Red Bull Racing,1.0,7,Race
ALO,alonso,Aston Martin,0.0,7,Race
HUL,hulkenberg,Kick Sauber,0.0,7,Race
GAS,gasly,Alpine,0.0,7,Race
LAW,lawson,Racing Bulls,0.0,7,Race
STR,stroll,Aston Martin,0.0,7,Race
